Title,URL,Author,Date,Description,ArticleBody
"Tebi, the new startup by Adyen’s departed cofounder, raises a fresh $30M from Alphabet’s CapitalG",https://startupnews.fyi/2025/06/10/tebi-the-new-startup-by-adyens-departed-cofounder-raises-a-fresh-30m-from-alphabets-capitalg/,Team SNFYI,"June 10, 2025","Dutch payments firm Adyen now has a market cap of over $61 billion, but that didn’t stop its cofounder Arnout Schuijff from stepping down in 2021 to focus on","Tebi, the new startup by Adyen’s departed cofounder, raises a fresh $30M from Alphabet’s CapitalG"
Video game performers on strike for almost a year over AI issues reach a tentative deal,https://startupnews.fyi/2025/06/10/video-game-performers-on-strike-for-almost-a-year-over-ai-issues-reach-a-tentative-deal/,Team SNFYI,"June 10, 2025",Members of the Screen Actors Guild-American Federation of Television and Radio Artists went on strike in July 2024 after negotiations with game industry,Video game performers on strike for almost a year over AI issues reach a tentative deal
IBM claims ‘real world’ edge in quantum computing race,https://startupnews.fyi/2025/06/10/ibm-claims-real-world-edge-in-quantum-computing-race/,Team SNFYI,"June 10, 2025","Current quantum computers are still experimental and face significant challenges, including high error rates. Companies like IBM, Google, and others are",IBM claims ‘real world’ edge in quantum computing race
Exclusive | Udemy bets big on AI to lead India’s reskilling revolution,https://startupnews.fyi/2025/06/10/exclusive-udemy-bets-big-on-ai-to-lead-indias-reskilling-revolution/,Team SNFYI,"June 10, 2025","Sazzarin believes online learning is entering a new era — one where AI can transform not just access to education, but the way people learn. “What we have the",Exclusive | Udemy bets big on AI to lead India’s reskilling revolution
iOS 26 tells you how long it will take for your iPhone battery to finish charging,https://startupnews.fyi/2025/06/10/ios-26-tells-you-how-long-it-will-take-for-your-iphone-battery-to-finish-charging/,Team SNFYI,"June 10, 2025","iPhone battery settings get a nice update in iOS 26, including a new intelligent battery saver mode called Adaptive Power. The iPhone will also now track",iOS 26 tells you how long it will take for your iPhone battery to finish charging
"ChatGPT Users Face Widespread Outage Globally, Including India",https://startupnews.fyi/2025/06/10/chatgpt-users-face-widespread-outage-globally-including-india/,Team SNFYI,"June 10, 2025","Indian users reported that after putting a prompt in the message window, an error shows up saying “Something went wrong while generating the response”","ChatGPT Users Face Widespread Outage Globally, Including India"
"AI Deepfakes Drive $4.6B Surge in Crypto Scams, Report Finds",https://startupnews.fyi/2025/06/10/ai-deepfakes-drive-4-6b-surge-in-crypto-scams-report-finds/,Team SNFYI,"June 10, 2025","The rise of artificial intelligence is fueling a sharp increase in crypto-related fraud, with deepfake technology driving a surge in sophisticated scams,","AI Deepfakes Drive $4.6B Surge in Crypto Scams, Report Finds"
"Waymo robotaxis, Lime e-scooters set ablaze during LA protests",https://startupnews.fyi/2025/06/10/waymo-robotaxis-lime-e-scooters-set-ablaze-during-la-protests-2/,Team SNFYI,"June 10, 2025",Several Waymo robotaxis and Lime e-scooters were set ablaze this weekend as unrest in downtown Los Angeles continued.,"Waymo robotaxis, Lime e-scooters set ablaze during LA protests"
Apple Unveils iOS 26: What is the Liquid Glass Interface and Key WWDC 2025 Highlights,https://startupnews.fyi/2025/06/10/apple-unveils-ios-26-what-is-the-liquid-glass-interface-and-key-wwdc-2025-highlights/,Team SNFYI,"June 10, 2025","At WWDC 2025, Apple unveiled iOS 26, featuring a bold new “Liquid Glass” interface that reimagines the visual experience across all Apple devices. This marks",Apple Unveils iOS 26: What is the Liquid Glass Interface and Key WWDC 2025 Highlights
How Finhaat Is Bringing Insurance To India’s Rural Markets,https://startupnews.fyi/2025/06/10/how-finhaat-is-bringing-insurance-to-indias-rural-markets/,Team SNFYI,"June 10, 2025","On a sweltering afternoon, an Indian farmer stares at his parched, cracked field. Months of effort have been undone due to an erratic monsoon. Elsewhere,",How Finhaat Is Bringing Insurance To India’s Rural Markets
BigBasket Launches 10-Minute Food Delivery Service,https://startupnews.fyi/2025/06/10/bigbasket-launches-10-minute-food-delivery-service/,Team SNFYI,"June 10, 2025",BigBasket is planning to launch its 10-minute food delivery service across India by the end of financial year ending March 2026,BigBasket Launches 10-Minute Food Delivery Service
Meta is creating a new AI lab to pursue ‘superintelligence’,https://startupnews.fyi/2025/06/10/meta-is-creating-a-new-ai-lab-to-pursue-superintelligence/,Team SNFYI,"June 10, 2025","Meta has tapped Alexandr Wang, 28, the founder and CEO of AI startup Scale AI, to join the new lab, the people said, and has been in talks to invest billions",Meta is creating a new AI lab to pursue ‘superintelligence’
"BigBasket to launch 10-minute food delivery across India by March 2026, executive says",https://startupnews.fyi/2025/06/10/bigbasket-to-launch-10-minute-food-delivery-across-india-by-march-2026-executive-says/,Team SNFYI,"June 10, 2025","The Tata-backed grocery giant will take on established players such as Swiggy's Snacc, Blinkit's Bistro and Zepto Cafe, which already deliver coffee and","BigBasket to launch 10-minute food delivery across India by March 2026, executive says"
"Rapido to Raise ₹125 Crore from Nexus Ventures, Eyes Expansion into Food Delivery and Fintech",https://startupnews.fyi/2025/06/10/rapido-to-raise-%e2%82%b9125-crore-from-nexus-ventures-eyes-expansion-into-food-delivery-and-fintech/,Team SNFYI,"June 10, 2025","Bengaluru-based ride-hailing startup Rapido is set to raise ₹125.2 crore from US-based venture capital firm Nexus Ventures, as it gears up to diversify beyond","Rapido to Raise ₹125 Crore from Nexus Ventures, Eyes Expansion into Food Delivery and Fintech"
"OpenAI’s annualised revenue hits $10 billion, up from $5.5 billion in December 2024",https://startupnews.fyi/2025/06/10/openais-annualised-revenue-hits-10-billion-up-from-5-5-billion-in-december-2024-2/,Team SNFYI,"June 10, 2025","Its projected annual revenue figure based on current revenue data, which was about $5.5 billion in December 2024, has demonstrated strong growth as the","OpenAI’s annualised revenue hits $10 billion, up from $5.5 billion in December 2024"
Snowflake to increase India headcount to over 700 by year-end,https://startupnews.fyi/2025/06/10/snowflake-to-increase-india-headcount-to-over-700-by-year-end/,Team SNFYI,"June 10, 2025",The company at present has around 600 employees in India and is also planning to set up a research and development (R&D) centre in the country.,Snowflake to increase India headcount to over 700 by year-end
Google in Mexico faces major potential fine as antitrust ruling nears,https://startupnews.fyi/2025/06/10/google-in-mexico-faces-major-potential-fine-as-antitrust-ruling-nears/,Team SNFYI,"June 10, 2025","Although Google does not release detailed revenue results by country, the potential fine could be among the largest ever imposed by Mexico's Federal Economic",Google in Mexico faces major potential fine as antitrust ruling nears
"Motorola Edge 60 debuts at ₹25,999 in India, promises flagship-like features on a budget",https://startupnews.fyi/2025/06/10/motorola-edge-60-debuts-at-%e2%82%b925999-in-india-promises-flagship-like-features-on-a-budget/,Team SNFYI,"June 10, 2025",What’s new with the Motorola Edge 60?,"Motorola Edge 60 debuts at ₹25,999 in India, promises flagship-like features on a budget"
Apple @ Work Podcast: Agentic AI and Extended Access Management,https://startupnews.fyi/2025/06/10/apple-work-podcast-agentic-ai-and-extended-access-management/,Team SNFYI,"June 10, 2025",Source link,Apple @ Work Podcast: Agentic AI and Extended Access Management
